"arvore_id","volume_arvore","DAP","altura"
2170,0.203293071980816,14.39,26.5
2171,0.384590915177594,19,29.4
2172,0.375656652011088,19.13,29.7
2173,0.138905536980831,12.6,23.7
2174,0.193949425061277,14.38,25.4
2175,0.168020088967494,13.65,25.2
2176,0.102603913476868,11.1,20.9
2177,0.327777654664981,17.49,29.7
2178,0.19407880500973,14.33,26.1
2179,0.361296902837728,18.39,30.1
2180,0.214463067688857,14.65,27
2181,0.287027965995209,16.49,28.4
2182,0.157179577475575,13.09,25.5
2183,0.211634767613753,14.7,26.4
2184,0.17426686236497,14,25.3
2185,0.315130603526868,17.25,28.7
2186,0.141940983399887,12.8,24.5
2187,0.246357557876965,15.55,28
2188,0.255063295441564,15.22,28.2
2189,0.203577267978992,14.05,27.3
2190,0.22140385784617,14.91,27.2
2191,0.241769415613537,15.1,27.4
2192,0.247395642584171,16.43,27
2193,0.181684516834667,13.99,26
2194,0.35328529185781,18.1,28.8
2195,0.315822022909529,16.95,29.1
2196,0.171812453638096,13.09,26.5
2197,0.105797483911811,11.54,21.9
2198,0.272721860759956,15.34,28.5
2199,0.354658087605916,17.49,29.4
2200,0.272263699461287,16.1,27.9
2201,0.161093240871128,12.75,25.4
2202,0.183775424311066,14.25,25.7
2203,0.202690116967487,14.04,26.3
2204,0.250491113974163,15.4,27.5
2205,0.211970430229978,14.65,27.2
2206,0.30332865407271,17.15,28.5
2207,0.171694036080857,13.95,25.7
2208,0.282825645343563,16.35,28.3
2209,0.123362212541085,11.89,21.7
2210,0.32376362460981,17.05,29.2
2211,0.293923480108248,16.35,28.7
2212,0.361222594026745,17.47,29.8
2213,0.108404340974745,11.8,22.3
2214,0.259161747055201,15.64,27.8
2215,0.0986166663891861,10.6,21.1
2216,0.359480007166971,18.14,29.5
2217,0.209358394709703,14.15,26.2
2218,0.27532990246512,16,28.4
2219,0.151916596239215,12.4,25.4
2220,0.339814937905757,17.34,29.5
2221,0.0470204019457465,8.35,17.4
2222,0.158519383293776,13.09,25.1
2223,0.340683951913824,17.84,28.1
2224,0.198775002483378,13.49,26.1
2225,0.361712210534948,17.79,28.77
2226,0.303015368890057,16.65,27.8
2227,0.399710107264897,18.63,28.9
2228,0.0947509711210131,11.1,20.2
2229,0.435434059555006,20.06,29.3
2230,0.436092215951,20.1,29.4
2231,0.421903195321403,18.89,29.4
2232,0.368696444651331,18.6,28.8
2233,0.316249754479956,17.18,28.1
2234,0.171422359787555,13.44,24.7
2235,0.129016980880977,12.25,23
2236,0.125386298603541,12.25,22.8
2237,0.222414375077842,15.05,26.5
2238,0.159997493736111,12.65,24.5
2239,0.183210642331922,13.9,25
2240,0.204728387255324,14.4,25.7
2241,0.290245768777837,16.29,27.8
2242,0.129898365564616,11.85,23.4
2243,0.300844627850194,17.05,28
2244,0.268172267212835,15.75,27.5
2245,0.328202803741528,17.34,28.4
2246,0.178875860811177,13.25,25.5
2247,0.2741019319785,16.49,28.1
2248,0.266554623129141,15.75,27.3
2249,0.29586109134582,16.65,27.9
2250,0.241661264846541,15.55,27
2251,0.258078534220374,15.78,27.3
2252,0.223762917141614,14.65,26.5
2253,0.344212995291335,18.05,28.8
2254,0.202729954849429,14.45,26.3
2255,0.250045358759432,15.18,27.5
